,disease,symptom_token,impact
0,appendicitis,запор,0.5567728421503516
1,appendicitis,боль живот,0.4396437331373265
2,appendicitis,температура,0.38287809532340084
3,appendicitis,рвота диарея,0.2815682223268221
4,appendicitis,потеря,0.27900532862951005
5,cholecystitis,вздутие,0.37629088019975304
6,cholecystitis,подреберье,0.35500001260629493
7,cholecystitis,тошнота,0.29305811916536506
8,cholecystitis,право,0.29058978288419063
9,cholecystitis,жирный,0.2614619200897576
10,enteritis,диарея,0.3705737501383889
11,enteritis,болеть,0.33573996714957477
12,enteritis,урчание,0.32547082538672933
13,enteritis,животе,0.32205704246939953
14,enteritis,диарей,0.29994715128607824
15,esophagitis,изжога,0.8960568822169906
16,esophagitis,глотание,0.3262276052974846
17,esophagitis,пищевод,0.3123074724513561
18,esophagitis,изжога отрыжка,0.27926125363863946
19,esophagitis,отрыжка кислый,0.2758520815450239
20,ulcer,еда,0.416237888468073
21,ulcer,приём,0.297720817935754
22,ulcer,веса,0.2968606287122784
23,ulcer,чувство,0.2964415678042978
24,ulcer,голодный,0.25193660779160937
